URL,Creator,Type,Description,Title
https://itunes.apple.com/us/audiobook/norse-mythology-unabridged/id1199156633?app=itunes,Neil Gaiman,book,Norse Mythology (Unabridged) - Neil Gaiman,Norse Mythology (Unabridged)
https://itunes.apple.com/us/audiobook/self-reliance-unabridged/id531973743?app=itunes,Ralph Waldo Emerson,book,Self Reliance (Unabridged) - Ralph Waldo Emerson,Self Reliance (Unabridged)
https://itunes.apple.com/us/audiobook/murder-on-orient-express-hercule-poirot-mystery-unabridged/id695041423?app=itunes,Agatha Christie,book,Murder on the Orient Express: A Hercule Poirot Mystery (Unabridged) - Agatha Christie,Murder on the Orient Express: A Hercule Poirot Mystery (Unabridged)
https://itunes.apple.com/us/audiobook/the-girl-on-the-train-a-novel-unabridged/id952021952?app=itunes,Paula Hawkins,book,The Girl on the Train: A Novel (Unabridged) - Paula Hawkins,The Girl on the Train: A Novel (Unabridged)
https://itunes.apple.com/us/audiobook/the-very-hungry-caterpillar-unabridged/id280363317?app=itunes,Eric Carle,book,The Very Hungry Caterpillar (Unabridged) - Eric Carle,The Very Hungry Caterpillar (Unabridged)
https://itunes.apple.com/us/audiobook/lord-of-the-flies-unabridged/id326110821?app=itunes,William Golding,book,Lord of the Flies (Unabridged) - William Golding,Lord of the Flies (Unabridged)
https://itunes.apple.com/us/audiobook/all-the-light-we-cannot-see-a-novel-unabridged/id867720460?app=itunes,Anthony Doerr,book,All the Light We Cannot See: A Novel (Unabridged) - Anthony Doerr,All the Light We Cannot See: A Novel (Unabridged)
https://itunes.apple.com/us/audiobook/the-shack-unabridged/id669281653?app=itunes,Wm. Paul Young,book,The Shack (Unabridged) - Wm. Paul Young,The Shack (Unabridged)
https://itunes.apple.com/us/book/the-silent-corner/id1153439963?mt=11&app=itunes,Dean Koontz,epubBook,The Silent Corner - Dean Koontz,The Silent Corner
https://itunes.apple.com/us/book/checkmate-this-is-effortless-drew-courtney-2/id1209764603?mt=11&app=itunes,Kennedy Fox,epubBook,"Checkmate: This is Effortless (Drew & Courtney, #2) - Kennedy Fox","Checkmate: This is Effortless (Drew & Courtney, #2)"
https://itunes.apple.com/us/book/saturn-run/id979433804?mt=11&app=itunes,John Sandford & Ctein,epubBook,Saturn Run - John Sandford & Ctein,Saturn Run
https://itunes.apple.com/us/book/the-fallen/id1168869463?mt=11&app=itunes,Ace Atkins,epubBook,The Fallen - Ace Atkins,The Fallen
https://itunes.apple.com/us/book/grayson-brothers-series-4-book-boxed-set/id566859409?mt=11&app=itunes,Wendy Lindstrom,epubBook,Grayson Brothers Series: 4-Book Boxed Set - Wendy Lindstrom,Grayson Brothers Series: 4-Book Boxed Set
https://itunes.apple.com/us/book/the-hitchhikers-guide-to-the-galaxy/id419921448?mt=11&app=itunes,Douglas Adams,epubBook,The Hitchhiker's Guide to the Galaxy - Douglas Adams,The Hitchhiker's Guide to the Galaxy
https://itunes.apple.com/us/book/escape-with-a-hot-seal/id1190742660?mt=11&app=itunes,Cat Johnson,epubBook,Escape with a Hot SEAL - Cat Johnson,Escape with a Hot SEAL
https://itunes.apple.com/us/book/100-simple-secrets-of-happy-families/id360605572?mt=11&app=itunes,"David Niven, PhD",epubBook,"100 Simple Secrets of Happy Families - David Niven, PhD",100 Simple Secrets of Happy Families
